source_document,comment_id,original_comment,original_anchor,change,new_location,evidence,status
MMAN_Revised_Manuscript-2.docx,10,"H1, H2 and H3 remain empirically unverified. The stronger semantic and early-warning interpretations require separate evidence even if predictive contrasts later succeed.",H1 lacks verified common-sample comparisons; H2 lacks matched ablations and semantic intervention evidence; H3 lacks a validated text contrast and dated lead-time analysis. The earlier no-text F1 0.7924 and difference 0.0561 do not resolve these gaps. Figure 6 must be regenerated from saved scores before supporting any hypothesis.,Unsupported H1–H3 empirical claims removed; exact fusion contrasts and definitive-announcement sensitivity replace stronger claims.,Results; Discussion; Conclusions,Paired intervals and preannounced_sensitivity.csv,resolved by replacement
MMAN_Revised_Manuscript-2.docx,11,Private repository identity has been removed for anonymous review. Public-data provenance is described prospectively; CSMAR/Wind access was not verified for this reconstruction.,"The reconstruction uses public disclosures and exchange records; a final analytical dataset and frozen manifest are not yet available. Reproducibility materials must contain dated eligibility/outcome evidence, extraction rules, configurations, predictions and hashes, subject to source terms. Collection and pilot records are not the final sample. The identifying repository link is withheld for anonymous review.",Public company/exchange source provenance stated; private repository identity and author details absent from main Word.,Methodology / Performance and announcement timing; separate Title Page,Package text/metadata anonymity scan; real supplied author page,resolved
MMAN_Revised_Manuscript-2.docx,12,"Reference retained from the supplied manuscript. Publisher metadata and full-text support have not been independently verified in this revision. Confirm title, authors, year, volume and article number before submission.","Che, W., Wang, Z., Jiang, C., & Abedin, M. Z. (2024). Predicting Financial Distress Using Multimodal Data: An Attentive and Regularized Deep Learning Method. Information Processing & Management, 61(4), 103703. https://doi.org/10.1016/j.ipm.2024.103703",Che metadata and relevant claim checked against publisher-linked accepted manuscript.,Literature Review; References,Citation_Audit.csv Che row; accepted manuscript p. 1,resolved
MMAN_Revised_Manuscript-2.docx,13,Reference retained; publisher metadata and the claimed scope require verification against the original publication.,"Hajek, P., & Munk, M. (2024). Corporate Financial Distress Prediction Using the Risk-related Information Content of Annual Reports. Information Processing & Management, 61(5), 103820. https://doi.org/10.1016/j.ipm.2024.103820",Hajek metadata and scope checked against publisher abstract/highlights; no claims beyond accessible content. Page-locator issue grouped separately.,Literature Review; References,Citation_Audit.csv Hajek row,resolved for metadata and claim scope
MMAN_Revised_Manuscript-2.docx,14,Reference retained; confirm final publication metadata and the corresponding primary-source passage.,"Huang, B., Yao, X., Luo, Y., & Li, J. (2023). Improving Financial Distress Prediction Using Textual Sentiment of Annual Reports. Annals of Operations Research, 330(1–2), 457–484. https://doi.org/10.1007/s10479-022-04633-3",Huang reference and its dependent claims were already absent from the latest annual working draft and remain removed.,References; Literature Review,Original comment anchor preserved here; retained 14-reference list,resolved by prior removal
MMAN_Revised_Manuscript-2.docx,15,"Reference retained; verify final title, year, volume, pages and DOI against publisher metadata.","Korangi, K., Mues, C., & Bravo, C. (2023). A Transformer-based Model for Default Prediction in Mid-cap Corporate Markets. European Journal of Operational Research, 308(1), 306–320. https://doi.org/10.1016/j.ejor.2022.10.032",Korangi reference belonged to superseded sequence/Transformer framing and remains removed.,References; Literature Review,Original comment anchor preserved here; annual-only methods,resolved by prior removal
MMAN_Revised_Manuscript-2.docx,16,"Reference retained; verify publication year, volume and article number against the primary source.","Liu, J., & Jia, M. (2025). Financial Distress Prediction with Annual Reports-based Deep Textual Feature Extraction: A Hybrid Approach. Information Sciences, 686, 121318. https://doi.org/10.1016/j.ins.2024.121318",Liu/Jia reference and its dependent claims remain removed from the revised annual working draft.,References; Literature Review,Original comment anchor preserved here; current citations verified bidirectionally,resolved by prior removal
MMAN_Revised_Manuscript-2.docx,17,"Citation formatting follows the supplied Citation file: alphabetical references, all surnames at first citation for three to five authors, and et al. for six or more. Exact page locators for paraphrases are not invented; check the original publications before submission. Remaining metadata checks are marked in comments.",References,Reference metadata and all 14 links checked; two missing official links added and all links made clickable. Loughran and McDonald printed page 35 verified and closed. Three other electronic abstract locators remain pending.,Literature Review; References; Word comment 0,Citation_Audit.csv; Reference_Link_Audit.csv; 2026-09-14 source/page checks,partial — three published-page locators pending
Annual_ST_Revised_Manuscript.docx,0,"Remaining submission check: the supplied Citation guide requests page locators for paraphrases. Author-year matching and retained reference metadata were checked, but exact primary-text page locators have not been established for every literature statement. Do not treat this item as resolved.",References,Reference metadata and all 14 links checked; two missing official links added and all links made clickable. Loughran and McDonald printed page 35 verified and closed. Three other electronic abstract locators remain pending.,Literature Review; References; Word comment 0,Citation_Audit.csv; Reference_Link_Audit.csv; 2026-09-14 source/page checks,partial — three published-page locators pending
manuscript/python_figures_20260914/Annual_ST_Manuscript.docx,0,"Locator follow-up retained from the previous working manuscript: Campbell (2008), Hajek and Munk (2024), Jiang et al. (2022), and Loughran and McDonald (2011) are now limited to verified publisher abstracts and carry explicit Abstract/paragraph locators. Exact published-page locators have not been verified for these four. The supplied FIQ guide prefers page locators for paraphrases; obtain the paginated originals or confirm acceptance of electronic locators before final submission. All other cited passages have checked page locators. See Citation_Audit.csv.",References,Resolved Loughran and McDonald using printed p. 35; removed this resolved item from the comment. Retained only three unresolved page checks.,Literature Review; References,"Loughran2011.pdf, printed p. 35; source SHA-256 in Citation_Audit.csv",partial — three published-page locators pending
